user_id,month,calls_made_per_month,total_minutes,messages_sent,data_volume_mb,total_mb,total_gb
1000,12,16.0,108.0,11.0,1901.47,1901.47,2.0
1001,8,27.0,166.0,30.0,6919.15,6919.15,7.0
1001,9,49.0,289.0,44.0,13314.82,13314.82,14.0
1001,10,65.0,368.0,53.0,22330.49,22330.49,22.0
1001,11,64.0,399.0,36.0,18504.3,18504.3,19.0
1001,12,56.0,379.0,44.0,19369.18,19369.18,19.0
1002,10,11.0,55.0,15.0,6552.01,6552.01,7.0
1002,11,55.0,347.0,32.0,19345.08,19345.08,19.0
1002,12,47.0,355.0,41.0,14396.24,14396.24,15.0
1003,12,149.0,1022.0,50.0,27044.14,27044.14,27.0
1004,5,21.0,176.0,7.0,6547.21,6547.21,7.0
1004,6,44.0,253.0,18.0,20672.82,20672.82,21.0
1004,7,49.0,342.0,26.0,24516.62,24516.62,24.0
1004,8,49.0,320.0,25.0,27981.739999999998,27981.739999999998,28.0
1004,9,42.0,281.0,21.0,18852.72,18852.72,19.0
1004,10,61.0,337.0,24.0,14541.63,14541.63,15.0
1004,11,54.0,441.0,25.0,21850.78,21850.78,22.0
1004,12,50.0,393.0,31.0,21389.29,21389.29,21.0
1005,12,59.0,457.0,11.0,17140.17,17140.17,17.0
1006,11,2.0,8.0,15.0,2068.37,2068.37,3.0
1006,12,9.0,54.0,139.0,32118.82,32118.82,32.0
1007,8,70.0,417.0,51.0,24439.88,24439.88,24.0
1007,9,63.0,369.0,47.0,28123.95,28123.95,28.0
1007,10,80.0,587.0,59.0,37885.63,37885.63,37.0
1007,11,80.0,487.0,48.0,24334.0,24334.0,24.0
1007,12,87.0,567.0,50.0,29069.28,29069.28,29.0
1008,10,71.0,441.0,21.0,17106.989999999998,17106.989999999998,17.0
1008,11,63.0,411.0,37.0,23676.72,23676.72,24.0
1008,12,85.0,592.0,26.0,14689.33,14689.33,15.0
1009,5,71.0,486.0,,20389.4,20389.4,20.0
1009,6,110.0,749.0,,18845.9,18845.9,19.0
1009,7,124.0,806.0,,30421.65,30421.65,30.0
1009,8,109.0,668.0,,24557.52,24557.52,24.0
1009,9,116.0,714.0,,20962.4,20962.4,21.0
1009,10,114.0,677.0,,22664.84,22664.84,23.0
1009,11,105.0,664.0,,25473.43,25473.43,25.0
1009,12,107.0,697.0,,23922.6,23922.6,24.0
1010,3,63.0,400.0,,10690.02,10690.02,11.0
1010,4,90.0,603.0,,19722.34,19722.34,20.0
1010,5,81.0,487.0,,15888.52,15888.52,16.0
1010,6,77.0,512.0,,16829.31,16829.31,17.0
1010,7,101.0,643.0,,12663.11,12663.11,13.0
1010,8,93.0,575.0,,19811.84,19811.84,20.0
1010,9,83.0,552.0,,16813.73,16813.73,17.0
1010,10,95.0,655.0,,16937.78,16937.78,17.0
1010,11,30.0,237.0,,7985.59,7985.59,8.0
1011,6,19.0,112.0,21.0,6685.11,6685.11,7.0
1011,7,63.0,467.0,53.0,21046.41,21046.41,21.0
1011,8,61.0,451.0,54.0,21099.37,21099.37,21.0
1011,9,73.0,450.0,60.0,16638.46,16638.46,17.0
1011,10,76.0,462.0,64.0,24575.65,24575.65,24.0
1011,11,65.0,463.0,58.0,22102.97,22102.97,22.0
1011,12,56.0,293.0,61.0,19630.63,19630.63,20.0
1012,11,10.0,68.0,,13935.03,13935.03,14.0
1012,12,16.0,70.0,,11876.94,11876.94,12.0
1013,12,35.0,203.0,16.0,20113.92,20113.92,20.0
1014,11,28.0,146.0,9.0,1175.59,1175.59,2.0
1014,12,150.0,1016.0,64.0,7792.41,7792.41,8.0
1015,12,16.0,89.0,68.0,17495.12,17495.12,18.0
1016,10,25.0,157.0,11.0,3669.91,3669.91,4.0
1016,11,94.0,598.0,46.0,27501.33,27501.33,27.0
1016,12,109.0,769.0,38.0,28188.010000000002,28188.010000000002,28.0
1017,8,8.0,54.0,5.0,2128.5299999999997,2128.5299999999997,3.0
1017,9,59.0,324.0,41.0,24478.920000000002,24478.920000000002,24.0
1017,10,68.0,371.0,35.0,28478.25,28478.25,28.0
1017,11,61.0,355.0,29.0,19093.04,19093.04,19.0
1017,12,70.0,446.0,42.0,21136.58,21136.58,21.0
1018,10,25.0,166.0,3.0,8722.35,8722.35,9.0
1018,11,86.0,591.0,5.0,15266.53,15266.53,15.0
1018,12,71.0,434.0,8.0,17390.55,17390.55,17.0
1019,11,7.0,41.0,24.0,3012.91,3012.91,3.0
1019,12,59.0,432.0,128.0,28127.77,28127.77,28.0
1020,11,55.0,393.0,1.0,12000.34,12000.34,12.0
1020,12,70.0,457.0,3.0,19749.08,19749.08,20.0
1021,12,52.0,366.0,,6084.63,6084.63,6.0
1022,5,39.0,278.0,,4908.08,4908.08,5.0
1022,6,76.0,442.0,,23436.48,23436.48,23.0
1022,7,70.0,436.0,,9933.15,9933.15,10.0
1022,8,80.0,575.0,,21325.33,21325.33,21.0
1022,9,66.0,471.0,,14118.23,14118.23,14.0
1022,10,83.0,524.0,,18961.41,18961.41,19.0
1022,11,72.0,450.0,,22204.48,22204.48,22.0
1022,12,82.0,548.0,,18283.62,18283.62,18.0
1023,7,7.0,39.0,5.0,9096.97,9096.97,9.0
1023,8,11.0,67.0,6.0,9991.79,9991.79,10.0
1024,12,80.0,523.0,,10807.37,10807.37,11.0
1026,7,23.0,152.0,9.0,4822.35,4822.35,5.0
1026,8,34.0,183.0,13.0,8402.11,8402.11,9.0
1027,7,46.0,317.0,18.0,11516.06,11516.06,12.0
1027,8,49.0,336.0,13.0,20351.1,20351.1,20.0
1027,9,53.0,295.0,12.0,17075.76,17075.76,17.0
1027,10,58.0,386.0,12.0,12901.15,12901.15,13.0
1027,11,52.0,375.0,10.0,15839.84,15839.84,16.0
1027,12,48.0,265.0,13.0,14411.53,14411.53,15.0
1028,2,,,12.0,12591.91,12591.91,13.0
1028,3,6.0,37.0,66.0,36061.04,36061.04,36.0
1028,4,7.0,48.0,77.0,37761.59,37761.59,37.0
1028,5,8.0,62.0,84.0,32907.83,32907.83,33.0
1028,6,11.0,44.0,66.0,37907.14,37907.14,38.0
1028,7,6.0,47.0,85.0,38826.7,38826.7,38.0
1028,8,9.0,71.0,74.0,40388.21,40388.21,40.0
1028,9,6.0,35.0,68.0,26563.75,26563.75,26.0
1028,10,6.0,34.0,73.0,46595.33,46595.33,46.0
1028,11,8.0,61.0,77.0,42952.59,42952.59,42.0
1028,12,6.0,38.0,74.0,37603.26,37603.26,37.0
1029,8,7.0,40.0,2.0,618.95,618.95,1.0
1029,9,116.0,693.0,9.0,13719.06,13719.06,14.0
1029,10,96.0,637.0,12.0,17605.99,17605.99,18.0
1029,11,84.0,582.0,16.0,14210.22,14210.22,14.0
1029,12,87.0,583.0,11.0,21046.14,21046.14,21.0
1030,10,75.0,429.0,9.0,11302.29,11302.29,12.0
1030,11,72.0,439.0,11.0,16646.68,16646.68,17.0
1030,12,69.0,388.0,10.0,15567.17,15567.17,16.0
1031,7,36.0,284.0,1.0,10653.04,10653.04,11.0
1031,8,62.0,441.0,2.0,21615.94,21615.94,22.0
1031,9,76.0,475.0,3.0,13005.92,13005.92,13.0
1031,10,74.0,519.0,2.0,18775.73,18775.73,19.0
1031,11,85.0,558.0,1.0,16198.94,16198.94,16.0
1031,12,75.0,442.0,5.0,12622.11,12622.11,13.0
1032,11,42.0,284.0,22.0,14469.16,14469.16,15.0
1032,12,92.0,701.0,20.0,14290.59,14290.59,14.0
1033,9,28.0,157.0,5.0,5349.94,5349.94,6.0
1033,10,110.0,797.0,34.0,28522.22,28522.22,28.0
1033,11,112.0,844.0,37.0,27039.350000000002,27039.350000000002,27.0
1033,12,98.0,549.0,32.0,21003.9,21003.9,21.0
1034,8,2.0,6.0,4.0,997.42,997.42,1.0
1035,12,74.0,575.0,66.0,15500.04,15500.04,16.0
1036,6,19.0,144.0,19.0,1449.37,1449.37,2.0
1036,7,68.0,495.0,63.0,12116.67,12116.67,12.0
1036,8,79.0,471.0,77.0,19505.93,19505.93,20.0
1036,9,54.0,278.0,83.0,14974.61,14974.61,15.0
1036,10,71.0,397.0,75.0,11220.67,11220.67,11.0
1036,11,73.0,478.0,76.0,10044.92,10044.92,10.0
1036,12,50.0,340.0,45.0,8787.79,8787.79,9.0
1037,12,67.0,430.0,44.0,14370.44,14370.44,15.0
1038,10,24.0,169.0,36.0,22299.5,22299.5,22.0
1038,11,69.0,390.0,106.0,37946.04,37946.04,38.0
1038,12,78.0,433.0,113.0,45020.31,45020.31,44.0
1039,6,40.0,292.0,4.0,6010.62,6010.62,6.0
1039,7,71.0,419.0,30.0,20939.15,20939.15,21.0
1039,8,80.0,387.0,23.0,22398.41,22398.41,22.0
1039,9,64.0,467.0,25.0,18558.81,18558.81,19.0
1039,10,59.0,419.0,23.0,13511.26,13511.26,14.0
1039,11,71.0,457.0,17.0,26185.96,26185.96,26.0
1039,12,77.0,523.0,25.0,20219.18,20219.18,20.0
1040,12,43.0,279.0,,16961.4,16961.4,17.0
1041,3,4.0,20.0,,1586.3899999999999,1586.3899999999999,2.0
1041,4,60.0,405.0,,20601.58,20601.58,21.0
1041,5,54.0,377.0,,18259.46,18259.46,18.0
1041,6,52.0,282.0,,20033.170000000002,20033.170000000002,20.0
1041,7,65.0,482.0,,23400.72,23400.72,23.0
1041,8,58.0,456.0,,24733.29,24733.29,25.0
1041,9,46.0,271.0,,22056.28,22056.28,22.0
1041,10,65.0,413.0,,19097.12,19097.12,19.0
1041,11,49.0,282.0,,24967.66,24967.66,25.0
1041,12,57.0,386.0,,16863.45,16863.45,17.0
1042,1,18.0,105.0,,1854.93,1854.93,2.0
1042,2,37.0,239.0,,6801.48,6801.48,7.0
1042,3,39.0,199.0,,7400.58,7400.58,8.0
1042,4,44.0,255.0,,7102.4,7102.4,7.0
1042,5,51.0,457.0,,9061.44,9061.44,9.0
1042,6,52.0,348.0,,9149.53,9149.53,9.0
1042,7,48.0,339.0,,6543.5,6543.5,7.0
1042,8,44.0,332.0,,6493.25,6493.25,7.0
1042,9,41.0,230.0,,13960.01,13960.01,14.0
1042,10,41.0,261.0,,6118.26,6118.26,6.0
1042,11,42.0,278.0,,9287.95,9287.95,10.0
1042,12,46.0,331.0,,6022.1,6022.1,6.0
1043,6,12.0,73.0,30.0,9891.43,9891.43,10.0
1043,7,38.0,295.0,85.0,27989.01,27989.01,28.0
1043,8,23.0,106.0,102.0,30372.95,30372.95,30.0
1043,9,28.0,181.0,101.0,32619.76,32619.76,32.0
1043,10,24.0,178.0,87.0,31327.21,31327.21,31.0
1043,11,25.0,169.0,107.0,33572.26,33572.26,33.0
1043,12,32.0,208.0,87.0,38464.82,38464.82,38.0
1044,8,1.0,12.0,,,,
1044,9,35.0,318.0,47.0,22425.25,22425.25,22.0
1044,10,33.0,159.0,45.0,20635.53,20635.53,21.0
1044,11,50.0,293.0,37.0,24572.15,24572.15,24.0
1044,12,39.0,288.0,31.0,15473.81,15473.81,16.0
1045,10,53.0,283.0,34.0,9178.75,9178.75,9.0
1045,11,77.0,518.0,49.0,24871.18,24871.18,25.0
1045,12,86.0,577.0,47.0,17012.32,17012.32,17.0
1046,6,47.0,309.0,20.0,10538.28,10538.28,11.0
1046,7,79.0,461.0,51.0,22016.18,22016.18,22.0
1046,8,77.0,463.0,38.0,24950.45,24950.45,25.0
1046,9,79.0,483.0,39.0,25161.01,25161.01,25.0
1046,10,81.0,538.0,27.0,25833.19,25833.19,26.0
1046,11,72.0,388.0,31.0,25165.01,25165.01,25.0
1046,12,83.0,596.0,32.0,13891.550000000001,13891.550000000001,14.0
1047,12,48.0,340.0,7.0,17146.8,17146.8,17.0
1048,8,13.0,69.0,,2256.76,2256.76,3.0
1048,9,32.0,239.0,,8806.79,8806.79,9.0
1048,10,25.0,189.0,,12249.23,12249.23,12.0
1048,11,39.0,237.0,,10699.55,10699.55,11.0
1048,12,24.0,149.0,,9290.36,9290.36,10.0
1049,4,30.0,216.0,,5374.0,5374.0,6.0
1049,5,42.0,284.0,,7776.349999999999,7776.349999999999,8.0
1049,6,46.0,316.0,,8427.87,8427.87,9.0
1049,7,44.0,270.0,,8510.51,8510.51,9.0
1049,8,55.0,352.0,,9547.39,9547.39,10.0
1049,9,52.0,325.0,,10160.8,10160.8,10.0
1049,10,47.0,290.0,,6189.06,6189.06,7.0
1049,11,44.0,283.0,,10572.32,10572.32,11.0
1049,12,36.0,279.0,,7472.53,7472.53,8.0
1050,3,23.0,128.0,,5942.6,5942.6,6.0
1050,4,50.0,321.0,,17557.58,17557.58,18.0
1050,5,62.0,391.0,,16769.29,16769.29,17.0
1050,6,55.0,436.0,,11574.0,11574.0,12.0
1050,7,63.0,396.0,,16132.82,16132.82,16.0
1050,8,51.0,326.0,,15211.449999999999,15211.449999999999,15.0
1050,9,57.0,344.0,,16997.27,16997.27,17.0
1050,10,53.0,283.0,,24534.68,24534.68,24.0
1050,11,57.0,377.0,,14227.19,14227.19,14.0
1050,12,52.0,276.0,,17044.12,17044.12,17.0
1051,12,29.0,163.0,60.0,10369.73,10369.73,11.0
1052,11,27.0,195.0,52.0,4650.4,4650.4,5.0
1052,12,177.0,1102.0,266.0,26633.75,26633.75,27.0
1053,7,3.0,15.0,,855.57,855.57,1.0
1053,8,64.0,443.0,13.0,21209.15,21209.15,21.0
1053,9,61.0,359.0,21.0,22495.99,22495.99,22.0
1053,10,54.0,426.0,13.0,16830.64,16830.64,17.0
1053,11,67.0,471.0,16.0,20020.42,20020.42,20.0
1053,12,47.0,282.0,12.0,15720.48,15720.48,16.0
1054,4,6.0,31.0,6.0,8231.44,8231.44,9.0
1054,5,37.0,257.0,27.0,17925.98,17925.98,18.0
1054,6,32.0,193.0,24.0,20824.09,20824.09,21.0
1054,7,44.0,296.0,25.0,16285.92,16285.92,16.0
1054,8,28.0,142.0,28.0,24096.24,24096.24,24.0
1054,9,41.0,298.0,30.0,19633.48,19633.48,20.0
1054,10,37.0,236.0,41.0,21121.260000000002,21121.260000000002,21.0
1054,11,27.0,185.0,28.0,20537.55,20537.55,21.0
1054,12,60.0,427.0,37.0,22992.69,22992.69,23.0
1055,5,25.0,153.0,48.0,7534.64,7534.64,8.0
1055,6,27.0,207.0,68.0,10709.68,10709.68,11.0
1055,7,38.0,255.0,79.0,15625.710000000001,15625.710000000001,16.0
1055,8,34.0,237.0,94.0,15189.85,15189.85,15.0
1055,9,30.0,205.0,74.0,14305.2,14305.2,14.0
1055,10,44.0,270.0,72.0,19802.85,19802.85,20.0
1055,11,28.0,218.0,95.0,14972.39,14972.39,15.0
1055,12,38.0,230.0,78.0,15445.36,15445.36,16.0
1056,7,8.0,65.0,3.0,3094.72,3094.72,4.0
1056,8,48.0,317.0,37.0,21623.82,21623.82,22.0
1056,9,50.0,359.0,37.0,15961.9,15961.9,16.0
1056,10,38.0,259.0,28.0,19099.83,19099.83,19.0
1056,11,46.0,359.0,39.0,18495.81,18495.81,19.0
1056,12,74.0,427.0,42.0,24974.03,24974.03,25.0
1057,9,21.0,147.0,21.0,3818.35,3818.35,4.0
1057,10,162.0,1025.0,131.0,28474.23,28474.23,28.0
1057,11,159.0,948.0,111.0,35090.02,35090.02,35.0
1057,12,158.0,1077.0,137.0,24450.06,24450.06,24.0
1058,11,76.0,528.0,29.0,7828.96,7828.96,8.0
1058,12,88.0,601.0,26.0,9190.19,9190.19,9.0
1059,4,29.0,205.0,20.0,3672.48,3672.48,4.0
1059,5,111.0,783.0,76.0,11783.35,11783.35,12.0
1059,6,108.0,690.0,64.0,10894.02,10894.02,11.0
1059,7,100.0,654.0,55.0,13367.17,13367.17,14.0
1059,8,111.0,751.0,65.0,12895.01,12895.01,13.0
1059,9,95.0,745.0,63.0,15036.26,15036.26,15.0
1059,10,86.0,657.0,58.0,17544.16,17544.16,18.0
1059,11,98.0,677.0,66.0,15430.49,15430.49,16.0
1059,12,95.0,674.0,66.0,20197.26,20197.26,20.0
1060,8,62.0,441.0,38.0,12539.42,12539.42,13.0
1060,9,92.0,621.0,66.0,26256.75,26256.75,26.0
1060,10,98.0,624.0,74.0,24445.77,24445.77,24.0
1060,11,82.0,525.0,69.0,19076.57,19076.57,19.0
1060,12,106.0,719.0,83.0,25061.82,25061.82,25.0
1061,4,29.0,261.0,17.0,6716.8,6716.8,7.0
1061,5,107.0,676.0,61.0,20773.12,20773.12,21.0
1061,6,75.0,452.0,49.0,20446.71,20446.71,20.0
1061,7,78.0,496.0,58.0,21455.15,21455.15,21.0
1061,8,87.0,554.0,71.0,18424.54,18424.54,18.0
1061,9,80.0,570.0,63.0,24854.16,24854.16,25.0
1061,10,95.0,645.0,54.0,16449.92,16449.92,17.0
1061,11,68.0,413.0,56.0,18752.52,18752.52,19.0
1061,12,83.0,490.0,93.0,23815.85,23815.85,24.0
1062,3,14.0,79.0,,8604.210000000001,8604.210000000001,9.0
1062,4,46.0,274.0,5.0,14580.19,14580.19,15.0
1062,5,46.0,325.0,13.0,15627.57,15627.57,16.0
1062,6,33.0,218.0,8.0,12513.16,12513.16,13.0
1062,7,46.0,289.0,13.0,13648.369999999999,13648.369999999999,14.0
1062,8,34.0,204.0,9.0,18914.74,18914.74,19.0
1062,9,36.0,189.0,8.0,14532.52,14532.52,15.0
1062,10,36.0,290.0,8.0,17328.78,17328.78,17.0
1062,11,30.0,171.0,7.0,17936.98,17936.98,18.0
1062,12,39.0,238.0,9.0,14550.1,14550.1,15.0
1063,11,9.0,64.0,,10936.7,10936.7,11.0
1063,12,13.0,94.0,,9994.54,9994.54,10.0
1064,6,24.0,143.0,3.0,6572.2300000000005,6572.2300000000005,7.0
1064,7,73.0,442.0,24.0,15403.26,15403.26,16.0
1064,8,80.0,577.0,15.0,22240.82,22240.82,22.0
1064,9,83.0,523.0,25.0,17233.66,17233.66,17.0
1064,10,93.0,590.0,19.0,18068.96,18068.96,18.0
1064,11,75.0,483.0,21.0,15201.33,15201.33,15.0
1064,12,62.0,407.0,26.0,18268.829999999998,18268.829999999998,18.0
1065,9,28.0,189.0,14.0,9153.05,9153.05,9.0
1065,10,87.0,673.0,29.0,17044.92,17044.92,17.0
1065,11,80.0,579.0,29.0,19927.4,19927.4,20.0
1065,12,73.0,441.0,28.0,18099.73,18099.73,18.0
1066,3,52.0,310.0,31.0,13691.49,13691.49,14.0
1066,4,57.0,425.0,32.0,22187.52,22187.52,22.0
1066,5,63.0,404.0,27.0,21603.41,21603.41,22.0
1066,6,76.0,417.0,34.0,16588.02,16588.02,17.0
1066,7,56.0,339.0,36.0,19876.94,19876.94,20.0
1066,8,49.0,350.0,43.0,19871.34,19871.34,20.0
1066,9,66.0,470.0,31.0,20870.81,20870.81,21.0
1066,10,56.0,379.0,36.0,21231.79,21231.79,21.0
1066,11,52.0,362.0,37.0,21029.79,21029.79,21.0
1066,12,70.0,469.0,29.0,17529.09,17529.09,18.0
1067,9,11.0,65.0,11.0,3912.89,3912.89,4.0
1067,10,56.0,432.0,29.0,20750.31,20750.31,21.0
1067,11,57.0,374.0,39.0,20371.7,20371.7,20.0
1067,12,53.0,324.0,20.0,15944.51,15944.51,16.0
1068,5,14.0,104.0,,6540.1,6540.1,7.0
1068,6,35.0,266.0,,15171.84,15171.84,15.0
1068,7,36.0,219.0,,14329.65,14329.65,14.0
1068,8,34.0,203.0,,14672.28,14672.28,15.0
1068,9,26.0,142.0,,11973.64,11973.64,12.0
1068,10,30.0,285.0,,19290.34,19290.34,19.0
1068,11,34.0,188.0,,13994.14,13994.14,14.0
1068,12,39.0,257.0,,17421.53,17421.53,18.0
1069,9,26.0,201.0,51.0,8293.23,8293.23,9.0
1069,10,82.0,498.0,119.0,11498.07,11498.07,12.0
1069,11,85.0,593.0,102.0,11538.48,11538.48,12.0
1069,12,102.0,652.0,98.0,14820.66,14820.66,15.0
1070,12,45.0,299.0,17.0,15401.48,15401.48,16.0
1071,5,24.0,154.0,,6403.87,6403.87,7.0
1071,6,61.0,338.0,,12655.47,12655.47,13.0
1071,7,81.0,545.0,,19569.61,19569.61,20.0
1071,8,74.0,480.0,,13747.5,13747.5,14.0
1071,9,59.0,425.0,,11812.6,11812.6,12.0
1071,10,69.0,499.0,,13054.55,13054.55,13.0
1071,11,57.0,420.0,,14871.3,14871.3,15.0
1071,12,67.0,426.0,,20631.8,20631.8,21.0
1072,7,48.0,335.0,6.0,17252.99,17252.99,17.0
1072,8,86.0,580.0,20.0,26667.579999999998,26667.579999999998,27.0
1072,9,82.0,536.0,18.0,26346.81,26346.81,26.0
1072,10,79.0,560.0,15.0,26967.6,26967.6,27.0
1072,11,76.0,442.0,17.0,32988.66,32988.66,33.0
1072,12,71.0,386.0,18.0,34185.21,34185.21,34.0
1073,4,36.0,216.0,,14511.98,14511.98,15.0
1073,5,41.0,249.0,,14296.74,14296.74,14.0
1073,6,45.0,306.0,,13237.64,13237.64,13.0
1073,7,44.0,300.0,,15329.24,15329.24,15.0
1073,8,34.0,199.0,,16832.09,16832.09,17.0
1073,9,30.0,179.0,,12566.12,12566.12,13.0
1073,10,50.0,303.0,,13235.86,13235.86,13.0
1073,11,39.0,291.0,,12278.82,12278.82,12.0
1073,12,39.0,368.0,,16570.14,16570.14,17.0
1074,11,11.0,97.0,,866.51,866.51,1.0
1074,12,90.0,573.0,,10802.82,10802.82,11.0
1075,9,17.0,109.0,48.0,10018.48,10018.48,10.0
1075,10,33.0,196.0,81.0,11724.69,11724.69,12.0
1075,11,22.0,110.0,64.0,8632.35,8632.35,9.0
1075,12,28.0,213.0,51.0,15267.35,15267.35,15.0
1076,7,4.0,27.0,9.0,113.74,113.74,1.0
1076,8,54.0,365.0,156.0,25517.579999999998,25517.579999999998,25.0
1076,9,53.0,333.0,145.0,23134.42,23134.42,23.0
1076,10,50.0,288.0,159.0,21310.96,21310.96,21.0
1076,11,57.0,347.0,139.0,21318.64,21318.64,21.0
1076,12,60.0,367.0,132.0,15440.81,15440.81,16.0
